comment,label
মালিবাগে মসজিদ ভেঙ্গে রাস্তা নির্মাণের নির্দেশ দিয়েছে সরকার। এক্ষেত্রে আড়াল থেকে কাজ করেছে এক হিন্দু প্রোকৌশলী।,3
অর্থহীন অয়ন :D,2
ছাত্রশিবিরের প্রতিটি নেতাকর্মীকে অতীতের যে কোন সময়ের তুলনায় আরও বেশি দায়িত্বশীলতার পরিচয় দিতে হবে।,4
দুই খানকি,1
তকে খাবো,1
"তিনি আরও বলেন, সার্বিক ক্ষেত্রে একের পর এক অপকর্ম দেখে জাতি হতাশ হয়ে পড়েছে।",4
"তুমিতো এর চেয়েও ভয়াবহ সুন্দর, এইটা কিছুই না।",0
বুঝলাম না এইখানে কি মজা পান? ভয় পাননা? :D,2
তুমি দেখতে আনেক  সুন্দর,0
বিয়ে করবা।।।।।।বল,2
নাস্তিক বলগার মরসে ভাল হইসে,3
আমি কি কমু বুজবার পাবা নাচ্চি না,2
"""শুভ নববর্ষ""",0
লেওরা লাগতাছে।।।,1
সত্যি তাই.   ...!!!!???,2
এর চাইতে পতিতা ও ভালো ।।।খা ???? মা,1
পাশের জনকে দেখে ভাল লাগছে...,0
কেন জানিনা খুবই ভাল লাগে।,0
তুমি কি বাদন না কনো হিজলা বাদন,2
তাইলে তোর স্তন এমন নেতানো ক্যান?,1
ঝাক্কাস মালরে!!,1
"সেক্রেটারী জেনারেল মোবারক হোসাইনের পরিচালনায় অনুষ্ঠানে সাবেক কেন্দ্রীয় সভাপতিদের মধ্যে উপস্থিত ছিলেন অধ্যাপক তাসনিম আলম, মুহাম্মদ সেলিম উদ্দিন, ডা. ফখরুদ্দিন মানিক, আবদুল জব্বার ও আতিকুর রহমান।",4
তিনি আজ রাজধানীর এক মিলনায়তনে ছাত্রশিবিরের কার্যকরী পরিষদের ২০১৭ সেশনের ১ম সাধারণ অধিবেশনে সভাপতির বক্তব্যে এসব কথা বলেন।,4
মালাউন মরসে ভাল হইসে,3
্রতিষ্ঠার পর থেকেই শত প্রতিকুলতাকে মাড়িয়ে শিবির তার লক্ষ্য পানে এগিয়ে চলছে।,4
গরুর বাচ্ছা গরুই হয়। তাই ব্য ব্যই করবে,3
কিউট,0
সব সময় ভালো লাগে.,0
যে যাই বলুন মালুরা কোন দিন যুদ্ধ বাধবেনা,3
"0 1 7 0 3 - 1 6 7 1 8 8. """"'' আমি সোনিয়া আক্তার """"'' শুধু মাএ প্রবাসীরা কল দিন, দেশি কল রিসিফ করি না। ফোন কল সেক্স - 1000 টাকা ( ১ ঘন্টা ) - ( বিকাশ )। ভিডিও কল সেক্স -3000 টাকা ( ১ ঘন্টা ) - ( বিকাশ ) ।  আমার নাম্বার"" 01703-167188 ""(শুধু প্রবাসীদের জন্য)",1
সমস্যা কি গোমূত্র খাইলেই পারে আমরা কেউ মানা করছি নাকি!,3
গরুখোর মুসলমান গুলারে খুইজা বাইর কইরা মেরে ফেলতে হবে,3
সেক্সি,1
তোমায় হেবি লাগ তাছে,2
হে দয়াময় আল্লাহ বিশ্বের সকল মুসলমানকে এক হওয়ার তাওফিক দান কর হে প্রভূ আমাদের সকল সৎ ও সাহসী ভাইদেরকে তোমার দ্বীনের বানী আমাদেরকে জানানোর তাওফিক দাও আমিন আমিন আমিন,0
তুলনাহীনা,0
নাইলা তোমার দুদ গুলো রশে বরা কেমনে বলবে কি তাহলে আমার গালফেন কে বলতাম তোমার মত দুদ বানাতে,1
চট্টগ্রামের হালিশহরে মুসলমানরা কোরবানি ঈদের সময় গরু কোরবানি করতে গেলে স্থানীয় হিন্দুরা তাদের গর্দান কেটে নেওয়ার হুমকি দেয়।,3
সবার আগে ঐ মালাউন ওছি কে গন ধোলাই দিতেহবে,3
"গল্প, কবিতা, ভালোবাসার কথা পেতে এই  পেজ এ লাইক দেন আর পেজ এর সব পোস্ট  পেতে লাইক কমেন্ট শেয়ার করে পাশে  থাকেন।  ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ    ღ অশ্রুসিক্ত ভালবাসা ღ",0
মালুর দালাল,3
যোদি বলি ভালো লাগে তবে হবে ভুল।,0
সালা সব অভিনেতা হল মালু,3
তুমিই বাংলার স্যাকসি,1
01971102775 সানি লিওনের ছোট বোন . . .,1
আর এই লক্ষ্যকে সামনে রেখে শিবির পরবর্তী প্রজন্মকে ইসলামী মুল্যবোধের আলোকে গড়ে তোলতে চায়।,4
ভাংগাদেশের মুসলিমরা এটাকে কোনোব্যপারই মনেকরেনা  শুধুতাদের পিল্মদেখারজন্যে পাগল,3
♡ সুন্দর লাগছে ♡...,0
"কিন্তু, ছাত্রশিবির ঘুণেধরা এই সমাজ ব্যবস্থার পরিবর্তে ইসলামী মুল্যবোধের ভিত্তিতে একটি সমৃদ্ধ বাংলাদেশ গড়তে নিরলস ভাবে কাজ করে যাচ্ছে।",4
আপনার বাবাতো হুজুর তহলে কেন আপনি সিনামায় ছবি করেন?,2
"আমার মেয়েটা ও অর মত, আর বউটা বাঁধনের মত।",1
শিক্ষা প্রতিষ্ঠানে সুষ্ঠু পরিবেশ না থাকায় শিক্ষার মাধ্যমে আলোকিত মানুষ গড়ার সেই সুমহান উদ্দেশ্য আজ অনেকাংশেই ব্যার্থ।,4
মালু তাড়াও বাংলা বাচাও,3
লাল শাড়ীতে তোমাকে সব সময়ই অতিমাত্রায় সেক্সি লাগে।,1
বাবু তুমি এসব কি বলো,2
"শিবির সভাপতি বলেন, দেশের ছাত্রসমাজকে পরিকল্পিতভাবে বিপথগামী করা হচ্ছে।",4
মালু মুক্ত বাংলাদেশ চাই।,3
তিনি আজ রাজধানীর এক মিলনায়তনে ছাত্রশিবিরের উদ্যোগে দায়িত্বশীল সমাবেশে প্রধান অতিথির বক্তব্যে এসব কথা বলেন।,4
ফাইটা যাইবো,2
"%দয়া করে সবাই পড়ুন। আধুনিকতার এই যুগে সবার হাতেই একটা করে মোববাইল থাকা স্বাভাবিক। কিন্তুু এ মোবাইল চালাতে গেলে অনেক টাকার প্রয়োজন হয়, সেটা আমরা সবাই জানি। আর একটা ব্যাপার, ইন্টারনেট থেকে টাকা আয় করা যায় সেটাও নিশ্চয়ই জানেন। কিন্তু কিভাবে? সেটা জানেন কি? তাই আপনার জন্য একটা উপায় আমি নিয়ে এলাম। কাজটা করতে আপনার মাত্র ৫ থেকে ৬ মিনিট সময় লাগবে। কিন্তু এতেই আপনি কামিয়ে নিতে পারবেন সর্বোচ্চ ২৫০ টাকা। কি অবাক লাগল ? হ্যা এটাই সত্যি। আপনি শুধু নিচের লিঙ্কটিতে ঢুকুন। ওখানে আপনাকে মাত্র ৩ টি কাজ করতে বলা",2
"সেক্স করছে, তাই খুব খুশি",1
যারা মসজিদ ভাঙতে আসবে  তারা যাতে আর ঘরে ফিরে যাইতে না পারে। সোজা হাসপাতালে পাঠাইতে হবে।,3
শুভ রাত্রি♥♥♥,0
কত মানুষ কত রোগে মারা যায়.....তুই একটা রোগকে  ধরে মারা যেতে পারিস না? দেশে একটা পাপি কমবে,2
খানকি মানকি লইয়া পরছি অনেক ঝালায়।,1
"উনি ডাক্তার জানতাম না,,,,",0
খুব সুন্দর,0
ইসলামী আন্দোলনের দায়িত্বশীলদের চিন্তা ও চেতনাকে কুলুষমুক্ত রাখতে হবে।,4
অপূর্ব,0
অকা,0
মালুরা এত বেড়েছে যে ৭১ এর মত আবার দেশ ছাড়া করতে হবে তবে আবার কিছুদিন শান্তিতে থাকা যাবে।,3
মালাউনরা মুসলমানদের ধর্মিয় অনুভুতিতে আঘাৎ করার জন্যই পরিকল্পিত ভাবে নর্তকির নাম আয়শা রেখেছে,3
সেক্স,1
যারা মসজিদ ভাঙতে আসবে তাদের হাত কেটে ফেলতে হবে,3
আমিতামাভাবাসি,2
আমরা বিশ্বাস করি একমাত্র ইসলামী আদর্শই পারে সমাজ ও রাষ্ট্রকে সঠিকভাবে পরিচালিত করতে।,4
মাহি আমি তোমার গানের পাগল আমাকে একটা গান পাঠাও ফেইছ বুক কে ফটো দেখেপেমে পরেছি আমি এই গন টা পাছিনা আমি ছোদি থাকি আমার ওরছাফে পাঠাও। ডেটফাইল 00968 91858917,2
কথা সত্য।,0
ভালো থেকো ভালো রেখো।।।।,0
মুসলিমদের ধর্মিয় কাজে তো এমন কঠোর পদোক্ষেপ নিলা না তার মানে তুই ও মালাউনের দোলে আছিস,3
সুন্দর লাগছেন,0
:) সত্যি কথা,0
[[179379108907488]],0
পৱী মণি তোমাকে খুব ভালো লাগে,0
সাধন দাস জারযের বাচ্চা কথা সাবধানে বলিস তোগ মত জানোয়ার গুলোরে দেখি দেখি কোপাইয়া শরীল থেকে মাথ আলদা করার সময়  হইছেতোরা অনেক বাড়ি গেছচ ৷,3
অপুর্ব !! গোলাপী ড্রেসে খুব মানায়,0
"নেতৃবৃন্দ আইন-শৃঙ্খলার পবিত্র দায়িত্বে নিয়োজিত থেকে মিথ্যাচার না করতে ও সুষ্ঠু তদন্তের মাধ্যমে প্রকৃত অপরাধীদের গ্রেফতার করতে পুলিশের প্রতি আহ্বান জানান।"",",4
নামাজ. পরিও  কেমন. আপু,0
এমন দায়িত্বহীন ভূমিকা অব্যাহত রাখলে জনগণের অনাস্থা ছাড়া তারা আর কিছুই অর্জন করতে পারবে না। যা কোন ভাবেই কাঙ্খিত নয়।,4
"আর আপনি সেই নাইলা নাঈম, যার ছবি দেখিলে নিজেকে আরো ছোট মনে হয়,,, আরো আপসোস লেগেছিলো যখন শুনেছিলাম আপনি বাংলাদেশি",2
কারণ শিবির জঙ্গিবাদে বিশ্বাস করে না বরং ঘৃণা করে।,4
মালোয়ানে বাচ্চারা মুসলমান ধংসের মিশন নিয়েছে।,3
কোন প্রকার জঙ্গিবাদের সাথে ছাত্রশিবিরের দূরতম কোন সম্পর্ক নাই।,4
তোমার পুসিটা অনেক সুন্দর,1
"আমি কষ্ট পাইছি, কেন গেলা?",0
এক জামাই বের করে দিল আর একটা জামাই খুচছ,1
আমিন। আল্লাহ কবুল করুন,0
ড্রেস পরে বিরক্তি লাগছে না। ঘুলে ফেলো তারাতারি।,1
রাইট,0
হে আল্লাহ যে সব মুসলমান এসব কুফরি কাজে জড়িত আপনি তাদের হেদায়েত দান করুন।,0
কিন্তু এই পুলিশ কর্মকর্তা কোন দিনই তাদের নাম মুখে আনেন নি।,4
তাছাড়াও জঙ্গিবাদী বহু ঘটনার সাথে আ.লীগের নেতাকর্মীদের সরাসরি সম্পৃক্ততা প্রমাণ হয়েছে।,4
"পৃথিবীর সবচেয়ে দামী এবং সর্বশ্রেষ্ঠ বাক্য হলোঃ- . ﻵ ﺍِﻟَﻪَ ﺍِﻟّﺎ ﺍﻟﻠّﻪُ ﻣُﺤَﻤَّﺪٌ ﺭَﺳُﻮُ ﺍﻟﻠّﻪِ . লা- ইলাহা ইলল্লাহু মুহাম্মাদুর রাসুলুল্লাহ (সঃ) যে ভুল করে, সে ""মানুষ"" যে ভুলের উপর স্থির থাকে, সে ""শয়তান"" আর যে ভুল করার পর আল্লাহর কাছে ক্ষমা চায় সে ""মুমিন""।' হযরত মুহাম্মাদ (সঃ)",0
পেগন্যান্ট ছিলা শুনলাম,2
সোনা তোকে খাব সোনা,1
সরকারের তথাকথিত সাঁড়াশি অভিযানের সময়ও ৬৩ জেলায় একযোগে বোমাহামলার আসামী নড়াইল সদর উপজেলা ছাত্রলীগের সভাপতি গাজী আব্দুল্লাহ আল মামুনকে গ্রেপ্তার করে পুলিশ।,4
দারুন,0
আপনি জানেন কি?,2
পশু কোরবানির সাথে পূজার কি সম্পর্ক? মালাউনরা আবার পূজা করতে পারে।ধর্মীয় অনুভূতি শুধু ইসলাম ধর্মে আছে।মালাউনদের আবার ধর্ম হতে পারে।ধর্ম ত সেকুলারদের।,3
"কেমন,বাল",2
হাসিনা নিজেই ভারতের গুপ্তচর ভারতের দালাল।,3
[[179379108907488]],0
যাদের পুরো ধর্মটাই হচ্ছে কুসংস্কারে ভরা  তারাই আসে আমাদের ধর্ম  নিয়ে কথা বলতে|লজ্জা শরম যদি একটু থাকতো!অবশ্য এদের ধর্মই বেহায়াপনা লজ্জাহীনতা শিক্ষা দেয়|গরুর মুত খাইতে খাইতে এদের মাথার তার সব গেছে ছিড়া.,3
ন্যাংটা হয়ে ছবি দিলেই পার,1
তোমাদের দু জনকে খুব ভাল মানিয়েছে।,0
তিন জনকে খুব সুন্দর লাগছে,0
""" ভালোবাসা মানে ঠাণ্ডা কফির পেয়ালা সামনে অবিরল কথা বলা;",0
তোরা মানুষ না জানোয়ার ......আজ বুঝবিনা বুঝবি সময় হলে.......সালা কুত্তা,2
আরে মাহি তোর সেক্স ভিডিওটা কাল্কে দেখলাম,1
খুব সুন্দর হইছে।,0
আমি ভাল নেই,0
৭০০০+ মানুষ লাইক দিসে!,2
১০০%গ্যারান্টি সহকারে স্থায়ী যৌন সমস্যার সমাধান পেতে আজই কল করুন এই নাম্বারে 01828-514051,1
ঈদ মুবারাক,0
"আমার আপন ভুবন  নতুন লেখক লেখিকাদের লেখা প্রকাশের অন্যতম  মাধ্যম। আপনাদের জন্যই আমাদের পেইজটাকে সাজানো হয়েছছে,,, আপনার একটি লাইকই পারে আমাদের ক্ষুদ্র পেইজটাকে অনেক বড় করতে। কথা দিচ্ছি আপনার একটি লাইকও বৃথা যেতে দিবো না। আর তাই  লাইক দিন- আমার আপন ভুবন  লেখা লেখিতে একধাপ এগিয়ে....",0
"বাচ্চারা এই পেজে একটা লাইক দাও,তোমাদের একটা কোলবালিশ দিমুনে :p",2
শিক্ষাঙ্গন থেকে সন্ত্রাস দূরীভূত করে শিক্ষার সুষ্ঠু পরিবেশ সুনিশ্চিত করুন। সভা সমাবেশের  নাগরিক অধিকার ও মৌলিক বাক স্বাধীনতা ফিরিয়ে দিন।,4
বাকিটা খুলে সফলতা অর্জন করে ফেলো :-/,1
চার দিন পরে কি তরে চুদবো।,1
ভাল ত ভাল না,0
ধন্যবাদ আফা মনে করিয়ে দেয়ার জন্য যে সামনে রোযা :v,0
এরা হয়তো চাচ্ছে মুসলমানরা পৃথিবী থেকে নিশ্চিহ্ন হক !,3
জায়গায় মারছেন :p,1
গরুর মত হোতাইয়া জবাইদিমু।,3
"বাকরুদ্ধ হয়ে গেলাম, প্রশংসা করার ভাষা খুঁজে পাচ্ছিনা। তুমি এতটাই...............",0
"সুতরাং জুলুম-নির্যাতন করে, মিথ্যা অপবাদ দিয়ে ইসলামী আন্দোলন স্তব্ধ করা যাবে না।",4
সুন্দর লাগছে,0
শরীরের চাইতে দুধ এতো বড় কেরে ।,1
"বাংলাদেশ ইসলামী ছাত্রশিবিরের কেন্দ্রীয় সভাপতি ইয়াছিন আরাফাত বলেন, ইসলামী আন্দোলনের কর্মীরা নির্ভিক।",4
আপু তোমাকে কিন্তু আগের মত খোলা-মেলা ভাবে পাচ্ছি না।,2
বিশ্বজয় করে ফেলেছে!!,0
আল্লাহ্ আপনাকে জান্নাত দান করুক,0
ব্যক্তি সমাজসহ মানুষের সার্বিক জীবনে কুরআন অনুস্বরণের গুরুত্ব তুলে ধরতে হবে।,4
ঠান্ডা লাগে না??,0
"তিনি নেতাকর্মীদের উদ্দেশ্যে করে বলেন, দাওয়াতি কাজকে চ্যালেঞ্জ হিসেবে গ্রহণ করতে হবে।",4
একদম বাজে ছবি,2
সুতরাং এই ঘুণে ধরা সমাজকে অশুভ শক্তির হাত থেকে রক্ষা ও কাঙ্খিত নাগরিক গড়ে তুলতে হলে কুরআনের আলোকে জীবন গঠনের কোন বিকল্প নেই।,4
ছবি দেইখা হাসি আইছে... তুক্কু কাশি আইছে...!!! তই আফা মনে লই সংযম পালন করা ইস্টারট কইরা দিছে!!! ভাল তো!!!,2
মনডা কইতাসে ওই শইতানডারে একটু গোমুত্র সেবন করায়া দেই,3
আপনি আপনার বডি টা কি আমাদেরকে সকালের নাস্তা হিসেবে দিলেন নাকি চিচিচি আপনি জদি একটা কুত্তাকেও জদি বিলিয়ে দেন একটা কুত্তা আপনাকে টাচ করবেনা,2
এই মাইয়াটা কে যে কেন মানুষ পছন্দ করে বুঝিনা...এই চেহারার লুক এর চেয়ে তো বাংলার সারা জাগানো নায়িকা ময়ুরি এর লুক ভাল ছিল...,1
সুন্দার,0
শাখা সভাপতি এস এম মিঠুর পরিচালনায় সমাবেশে বিশেষ অতিথি হিসেবে উপস্থিত ছিলেন কেন্দ্রীয় সাহিত্য সম্পাদক শাহ মাহফুজুল হক।,4
কারন বাংলাদেশী হিন্দুরা হচ্ছে পাঁঠা বীর্য কালি পুত্র গোমুত্র খোর মালাউন।,3
তুমার ছবি অনেক সুন্দর লাগে,0
চরমসময়।,2
"চলোনা ঘুরে আসি ক্যাফে সেলফি তে,",0
দালালরা আবারো গর্ত থেকে বের হলো । সামনে কোন নাটক  দেখাবে ?,3
একজন নায়িকা মানে একজন ব্যসা বা পতিতা । কম দামে বিক্রি করলে বলে পতিতা আরেকটু বেশি দামে বিক্রি করলে কয় মডেল আরেকটু বেশি দামে বিক্রি করলে বলা হয় নায়িকা । আল্লাহ সুন্দর্য্যে দিয়েছেন  এটা বিক্রি করে টাকা ইনকাম করা ইহার চেয়ে নিকৃষ্ট কাজ কী হতে পারে ।,1
নিচুল,2
মালাউন হিন্দু পুরায়া মার,3
সকল মুসলিমরাও কোন এক সময়ে শুকরের মাংস খেতো।১৪০০ এর পুর্বে সকল মুসলিমই শুকর খেতো।,3
কেন্দ্রীয় ছাত্রলীগের নির্দেশ অনুযায়ী  বিবাহিত যারা পদত্যাগ করছেন তাদের ধন্যবাদ৷,4
সাদা পোশাক কি যে ভাল লাগে.......,0
জে বাভে আপনি সরিল দেখায়া পটো  আবলোট করেন. সবায়া আপনার সরিল কে লায়াক করে এটা আপনি কি  ভোচতে পারেন বালো থাকবেন,2
কাছে থাকলে তোমার পায়ে প্রসাব করে দিতাম|,2
নাই চেল ফি,0
আপু তোকে আমি চুদে চাই,1
"বাংলাদেশ এগিয়ে যাচ্ছে, এগিয়ে যাবে, এই",4
"এদেশে জঙ্গি ও সন্ত্রাসীদের কোনো স্থান হবে না,",4
দেশে জঙ্গি-সন্ত্রাসীদের স্থান হবে না,4
নাস্তিকদের   মুখে   মুসলমান   মুসলমান   ঘ্যানর  ঘ্যানর  শুনতে  আর  ভালো  লাগেনা ।,3
মাগি বাজারে মাগি,1
নাও কমেন্ট,2
রাম ছাগলের মেলা,2
বাদন তোমার  সাইজ কত।বুক টা খুবই ভাল লাগছে।যদি একটু কাছে আস তা আদর করে তোমাকে ঘুম পারা তাম বাদন আই লাইক ইউ।,1
মাটির দেহ হবে মাটি কথা সত্য কথা খাটি,0
সুবহানআল্লাহ!  এতো নূর কোথায় রাখিস সখি? আমি ঝলকানিতেই মরি,0
দুধের সাইজ এত ছোট কেন????,1
আওমী শুয়োর জবাই হবে রাস্তায়,3
আগের রূপ কবে দেখব?,2
আল্লাহ হেফাযত করুক,0
আপু দারুন  সুন্দর  লাগছে,0
হেববী লাগছে।,0
মালু দের মারা জুরুরি,3
বেশ্যা,1
কিছু উগ্র হিন্দু আছ যারা হিন্দু মুসলিম দাঙ্গা লাগাইতে চায়। সারা দুনিয়ার অমুসলিম রাও তাই চায়। কাজেই মুসলমানদের ধৈয্য সহকারে এগুতে হবে।,3
"কেন্দ্রীয় নির্দেশনার প্রতি সম্মান জানিয়ে, কুমিল্লা উত্তর জেলা ছাত্রলীগের সহ-সভাপতির পদ থেকে অব্যাহতি নিয়েছেন মাজারুল আলম মিয়াজী।",4
ভাল থাকুক প্রাণের সংগঠন বাংলাদেশ ছাত্রলীগ। আপনারাও ছাত্রলীগের গঠনতন্ত্র মানবেন দয়া করে… কেন্দ্রীয় নেতৃবৃন্দ… জয় বাংলা-জয় বঙ্গবন্ধু।,4
মুসল্মান পাকিস্তানের দালাল,3
"ঢাকা মহানগর উত্তরের সহ-সভাপতি লিখন সরকার বুধবার রাতে তার ফেইসবুক স্ট্যাটাসে লিখেন, ‘পদত্যাগ করলাম",4
"কি ফিগার,,",0
তোমাকে খুব লাগছে,1
ভালো,1
অই মাগি রে রাম চদন দে সবাই,1
পবিত্র ঈদুল ফিতর উপলক্ষে আপনাকে জানাই ঈদের শুভেচ্ছা ।,1
"বাংলাদেশ ছাত্রলীগের কেন্দ্রীয় নির্বাহী সংসদের সংগ্রামী সভাপতি সাইফুর রহমান সোহাগ ভাই ও বিপ্লবী সাধারন সম্পাদক এস এম জাকির হোসেন ভাই।"",",4
তোমার সাথে সময় কাটাতে ইচ্ছে করে,0
হাচা বলেচেন,1
মসজিদ ভাঙতে যেই খবিশ আসবে ওদের হাত গুলো কেটে পল্টন মোরে ঝুলিয়ে দিব,3
তুমি জদি ছনিরিয়ন হোউ আমাদের চোদার লিওন কেহবে,1
খবিশ মাল্লুর বাছছা,3
খুব সুনদর লাগছে,0
সপনের মত উকি দেয়গো মাসি । সপনের মত উকি দেয়,2
"কানা কুত্তা বায়ে ভুগবেই। অনেক চেহারার মাঝেও যে অগ্নিশিখার মত প্রতিবাদ লুকিয়ে থাকে ,তুমিই তার জ্বলন্ত উদাহরণ।",2
"নাস্তিকের দুই গালে, জতা মারো তালে তালে",3
রেন্ডিয়ান মালাইউন এর মা রে চুদি......,3
বেশ ভালো,0
